iter	Passed	Remaining
0	63	63381
1	63	31795
2	64	21284
3	64	16010
4	64	12847
5	64	10735
6	65	9235
7	65	8107
8	65	7224
9	65	6515
10	66	5936
11	66	5454
12	66	5049
13	66	4702
14	67	4403
15	67	4140
16	67	3908
17	67	3700
18	68	3514
19	68	3347
20	68	3197
21	68	3059
22	69	2933
23	69	2817
24	69	2712
25	69	2614
26	69	2522
27	70	2444
28	70	2372
29	71	2308
30	71	2245
31	72	2181
32	72	2120
33	72	2062
34	72	2008
35	73	1956
36	73	1907
37	73	1861
38	73	1818
39	74	1777
40	74	1738
41	74	1700
42	74	1665
43	75	1630
44	75	1597
45	75	1566
46	75	1536
47	76	1508
48	76	1480
49	76	1454
50	76	1428
51	77	1404
52	77	1380
53	77	1357
54	77	1339
55	78	1324
56	78	1306
57	79	1289
58	79	1271
59	79	1252
60	80	1234
61	80	1217
62	80	1200
63	80	1184
64	81	1169
65	81	1154
66	82	1141
67	82	1130
68	82	1118
69	83	1104
70	83	1091
71	83	1077
72	83	1065
73	84	1053
74	84	1042
75	84	1030
76	85	1021
77	85	1010
78	85	999
79	85	988
80	86	977
81	86	967
82	86	955
83	86	945
84	86	936
85	87	926
86	87	917
87	87	908
88	87	899
89	88	891
90	88	883
91	88	875
92	89	868
93	89	860
94	89	852
95	89	845
96	89	837
97	90	831
98	90	823
99	90	816
100	90	809
101	91	803
102	91	796
103	91	790
104	91	783
105	92	777
106	92	771
107	92	765
108	92	759
109	93	754
110	93	749
111	93	743
112	94	738
113	94	732
114	94	727
115	94	722
116	94	716
117	95	712
118	95	707
119	95	702
120	95	697
121	96	691
122	96	687
123	96	682
124	96	678
125	97	674
126	97	672
127	98	669
128	98	667
129	99	662
130	99	658
131	99	654
132	99	650
133	99	645
134	100	641
135	100	637
136	100	633
137	100	630
138	101	626
139	101	622
140	101	619
141	101	614
142	101	611
143	102	608
144	102	605
145	103	602
146	103	599
147	103	595
148	103	592
149	103	588
150	104	585
151	104	582
152	104	579
153	104	576
154	105	572
155	105	569
156	105	566
157	105	563
158	105	560
159	106	557
160	106	554
161	106	551
162	106	548
163	107	545
164	107	542
165	107	540
166	107	537
167	107	534
168	108	532
169	108	530
170	108	527
171	109	525
172	109	522
173	109	520
174	109	517
175	109	514
176	110	512
177	110	510
178	110	507
179	110	505
180	111	502
181	111	500
182	111	498
183	111	495
184	112	493
185	112	491
186	112	489
187	113	488
188	113	487
189	113	485
190	114	483
191	114	481
192	114	479
193	114	477
194	115	475
195	115	473
196	115	471
197	116	469
198	116	468
199	116	467
200	117	465
201	118	466
202	118	464
203	118	462
204	118	460
205	118	458
206	119	456
207	119	454
208	119	452
209	119	450
210	120	449
211	120	447
212	121	447
213	121	446
214	121	444
215	121	442
216	122	440
217	122	438
218	122	437
219	122	435
220	123	433
221	123	431
222	123	430
223	123	428
224	124	427
225	124	425
226	124	423
227	124	422
228	124	420
229	125	419
230	125	417
231	125	415
232	125	414
233	126	413
234	126	411
235	126	410
236	127	409
237	127	407
238	127	406
239	127	404
240	127	403
241	128	401
242	128	400
243	128	398
244	128	397
245	129	395
246	129	394
247	129	392
